類型,基因名稱,基因等級,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,隨行獸備註
技巧,咬牙基因【小】,S,主動,雷牙,1,11,對單體造成雷屬性小量傷害，低機率令對手麻痺3回合,紅怪龍,
技巧,雷電吐息基因【中】,M,主動,能量吐息,10,13,對單體造成雷屬性小量傷害，中機率令對手麻痺3回合,奇怪龍、紅怪龍,
技巧,背水基因【特大】,XL,主動,復仇雷擊,30,22,對單體造成雷屬性大量傷害，體力降低時攻擊力上升，令對手麻痺,電龍,
技巧,岩石基因【大】,L,主動,響雷衝擊,1,12,對單體造成雷屬性中量傷害，低機率令對手麻痺3回合,紅彩鳥,
技巧,猛擊基因【大】,L,主動,雷猛擊,15,26,對全體造成雷屬性中量傷害，低機率令對手麻痺3回合,電龍,
技巧,吸血基因【中】,M,主動,噬能,20,17,對單體造成雷屬性中量傷害，按造成的傷害比例回復體力,奇怪龍,
技巧,陷阱基因T,L,主動,雷陷阱,20,15,"在場上設置2回合後發動的雷屬性陷阱，中機率令對手麻痺
  ※若正面對決失敗則無法設置",紅怪龍,
技巧,雷耐性基因【小】,S,被動,雷屬性防禦強化【小】,1,-,【強化0】雷屬性防禦力極少量提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍,
技巧,雷耐性基因【中】,M,被動,雷屬性防禦強化【中】,1,-,【強化0】雷屬性防禦力略微提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
技巧,雷耐性基因【大】,L,被動,雷屬性防禦強化【大】,1,-,【強化0】雷屬性防禦力顯著提升,雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
技巧,雷耐性基因【特大】,XL,被動,雷屬性防禦強化【特】,1,-,【強化0】雷屬性防禦力大幅提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,皆為上位怪
技巧,同步化基因【小】,S,被動,同步化【小】,1,-,【強化0】雙人動作造成的傷害極少量提升,水獸、奇猿狐、土砂龍,
技巧,同步化基因【中】,M,被動,同步化【中】,1,-,【強化0】雙人動作造成的傷害略微提升,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,
技巧,同步化基因【大】,L,被動,同步化【大】,1,-,【強化0】雙人動作造成的傷害顯著提升,砂龍王、泡狐龍、紫水獸,
技巧,同步化基因【特大】,XL,被動,同步化【特】,1,-,【強化0】雙人動作造成的傷害大幅提升,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,皆為上位怪
速度,猛擊基因【小】,S,主動,雷電落尾擊,1,8,對單體造成雷屬性小量傷害,飛雷龍,
速度,雷電吐息基因【大】,L,主動,電漿噴射,1,23,對全體造成雷屬性中量傷害，低機率令對手麻痺3回合,白海龍、電龍,
速度,麻痺基因【大】,L,主動,雷霆角,15,15,對單體造成雷屬性中量傷害，中機率令對手麻痺3回合,麒麟,
速度,麻痺基因【特大】,XL,主動,雷霆空降,40,22,對單體造成雷屬性大量傷害，低機率令對手麻痺3回合,麒麟,
速度,雷擊基因【小】,S,主動,雷電震擊,20,22,對全體造成雷屬性小量傷害，低機率令對手麻痺3回合,飛雷龍,
速度,蟲彈基因【中】,M,主動,雷光蟲彈,1,11,對單體造成雷屬性小量傷害，低機率令對手麻痺3回合,雷狼龍,
速度,狼龍基因【大】,L,主動,雷迅掌,30,24,對單體造成雷屬性大量傷害，中機率令對手麻痺3回合,雷狼龍,
速度,耐痺基因【小】,S,被動,耐麻痺【小】,1,-,有時可令麻痺無效化 【強化0】極少發動,毒妖鳥、黑狼鳥、桃毛獸王、毒怪鳥、影蜘蛛、飛雷龍、奇怪龍、紅怪龍、紫毒鳥,
速度,耐痺基因【中】,M,被動,耐麻痺【中】,1,-,有時可令麻痺無效化 【強化0】偶爾發動,毒妖鳥、黑狼鳥、桃毛獸王、毒怪鳥、影蜘蛛、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅速龍王、黃速龍王、紫毒鳥、紅彩鳥、海龍、骸蜘蛛、綠毛獸王、白海龍、電龍、雷顎龍、金雷公、金獅子,
速度,耐痺基因【大】,L,被動,耐麻痺【大】,1,-,有時可令麻痺無效化 【強化0】較常發動,"雷狼龍、紅速龍王、黃速龍王、紅彩鳥、海龍、骸蜘蛛、綠毛獸王、白海龍、電龍
 雷顎龍、金雷公、金獅子",
速度,耐痺基因【特大】,XL,被動,耐麻痺【特】,1,-,有時可令麻痺無效化 【強化0】經常發動,毒妖鳥、黑狼鳥、桃毛獸王、毒怪鳥、影蜘蛛、飛雷龍、奇怪龍、紅怪龍、雷狼龍、 紅速龍王、黃速龍王、紫毒鳥、紅彩鳥、海龍、骸蜘蛛、綠毛獸王、白海龍、 電龍、雷顎龍、金雷公、金獅子,皆為上位怪
無,狂擊基因【大】,L,主動,雷霆尖角,1,20,多次隨機對全體造成雷屬性大量傷害，低機率令對手麻痺3回合,麒麟,
無,連擊基因【特大】,XL,主動,落雷,1,20,多次隨機對全體造成雷屬性大量傷害，低機率令對手麻痺3回合,金雷公,
無,雷罩基因【中】,M,主動,高壓,15,6,自身的雷屬性攻擊力小幅提升，防禦力小幅提升，【強化0】效果回合：3,飛雷龍、雷狼龍,
無,雷罩基因【大】,L,主動,極電壓,40,16,自身的雷屬性攻擊力中幅提升，防禦力小幅提升，【強化0】效果回合：3,金雷公,
無,電殼龍基因【大】,L,主動,雷電光環,30,5,賦予自身攻擊麻痺效果，【強化0】效果回合：3,海龍,
無,夥伴基因【小】,S,被動,夥伴【小】,1,-,體力低於一半時，羈絆值上升量增加【強化0】羈絆值上升量極少量提升,波波、冰鮫鯊、白兔獸、冰土砂龍,
無,夥伴基因【中】,M,被動,夥伴【中】,1,-,體力低於一半時，羈絆值上升量增加【強化0】羈絆值上升量略為提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,
無,夥伴基因【大】,L,被動,夥伴【大】,1,-,體力低於一半時，羈絆值上升量增加【強化0】羈絆值上升量顯著提升,巨獸、冰牙龍、風漂龍,
無,夥伴基因【特大】,XL,被動,夥伴【特】,1,-,體力低於一半時，羈絆值上升量增加【強化0】羈絆值上升量大幅提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,皆為上位怪
無,會心羈絆基因【小】,S,被動,會心攻擊羈絆【特】,1,-,會心攻擊時的羈絆值上升量增加【強化0】羈絆值上升量極少量提升,波波、冰鮫鯊、白兔獸、冰土砂龍,
無,會心羈絆基因【中】,M,被動,會心攻擊羈絆【中】,1,-,會心攻擊時的羈絆值上升量增加【強化0】羈絆值上升量略微提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,
無,會心羈絆基因【大】,L,被動,會心攻擊羈絆【特】,1,-,會心攻擊時的羈絆值上升量增加【強化0】羈絆值上升量顯著提升,巨獸、冰牙龍、風漂龍,
無,會心羈絆基因【特大】,XL,被動,會心攻擊羈絆【特】,1,-,會心攻擊時的羈絆值上升量增加【強化0】羈絆值上升量大幅提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,皆為上位怪
無,雷罩基因【特大】,XL,主動,青電壓,15,19,雷屬性攻擊力與防禦力中幅提升5回合，並續力2回合,青電主電龍,
技巧,雷電吐息基因【特大】,XL,主動,青電漿,30,47,對全體造成雷屬性大量傷害，中機率令對手麻痺3回合,青電主電龍,
技巧,雷擊基因【中】,M,主動,雷霆斬,1,15,對單體造成雷屬性中量傷害，中機率令對手麻痺3回合,青電主電龍,
