類型,基因名稱,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,隨行獸備註
技巧,睡眠基因【中】,主動,睡眠針,1,11,對單體造成無屬性小量傷害，中機率使其陷入睡眠狀態1回合,影蜘蛛,
技巧,睡眠基因【大】,主動,睡眠氣體,20,26,對全體造成無屬性中顯傷害，中機率使其在發動回合內陷入睡眠狀態,桃岩龍、鎧龍,
技巧,毒基因【小】,主動,毒尾巴,1,9,對單體造成無屬性小呈傷害，低機率使其陷入中毒狀態3回合,黑狼鳥,
技巧,毒吐息基因【小】,主動,猛毒射擊,1,10,對單體造成無屬性小量傷害，中機率使其陷入中毒狀態3回合,毒妖鳥,
技巧,毒吐息基因【中】,主動,劇毒爆射,15,21,對全體造成無屬性小量傷害，高機率使其陷入中毒狀態3回合,毒妖鳥,
技巧,麻痹基因【中】,主動,麻痹滑擊,10,11,對單體造成無屬性小量傷害，中機率使其陷入麻痹狀態3回合,沙龍王,
技巧,毒蜘蛛基因【中】,主動,追毒痹重擊,15,10,對單體造成無屬性中量傷害，對中毒、麻痹狀態傷害提升,紅速龍王、黃速龍王、骸蜘蛛,
技巧,毒蜘蛛基因【大】,主動,蛛罰,1,13,對單體造成無屬性中量傷害，低機率使其陷入中毒·麻痹狀態3回合,骸蜘蛛,
技巧,毒蜘蛛基因【特大】,主動,毒針,30,23,對單體造成無屬性極小量傷害，高機率使其陷入中毒狀態，低概率即死,骸蜘蛛,
技巧,惡臭基因【小】,主動,惡臭氣體,1,10,對單體造成無屬性小量傷害，中機率使其陷入惡臭狀態3回合,桃毛獸王,
技巧,惡臭基因【中】,主動,惡臭吐息,10,16,對單體造成無屬性小量傷害，中機率使 機陷入中毒、麻痹、燒傷狀態,桃毛獸王、綠毛獸王,
技巧,惡臭基因【大】,主動,爆裂惡臭氣體,1,13,對單體造成無屬性中量傷害，中機率使身 陷入惡臭、爆破異常狀態,綠毛獸王,
技巧,猛毒基因【大】,主動,猛毒掃擊,1,42,對全體造成無屬性大量傷害，中機率使其陷入猛毒狀態3回合,紫毒姬,
技巧,棘單基因【大】,主動,破裂刃鱗,30,25,對全體造成無屬性中量傷害，中機率使其陷入裂傷狀態2回合,千刃龍,
技巧,投擲基因【小】,主動,岩石拋投,4,8,對單體造成無屬性小量傷害，,騷鳥,
技巧,龍卷基因【大】,主動,陷阱旋風,1,30,對全體造成無 屬 性中量傷害，引發龍卷並持續造成小量傷害,風牙龍、鋼龍,
技巧,雪上加霜基因T,主動,追全異常重擊T,30,10,對單體造成無屬性中量傷害，對狀態異常的敵方造成的傷害大幅提升,黑狼鳥,
技巧,氣體基因【小】,主動,毒氣體,8,21,對全體造成無屬性小量傷害，高機率使其陷入中毒狀態3回合,岩龍,
技巧,氣體基因【大】,主動,猛毒氣體,10,28,對全體造成無屬性中量傷害，高機率使其陷入猛毒狀態3回合,桃岩龍,
技巧,影蜘蛛基因【中】,主動,追眠重擊,10,10,對單體造成無屬性中量傷害，對陷入睡眠的敵方造成的傷害提升,眠狗龍王、影蜘蛛,
技巧,千裂爪基因【中】,主動,千裂爪,1,24,對單體造成無屬性大量傷害，高機率使其陷入裂傷狀態2回合，,千刃龍,
技巧,鐵壁基因【小】,被動,無屬性防禦強化【小】,1,-,無屬性防禦力極少量提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、浮空龍、迅龍、綠迅龍,
技巧,鐵壁基因【中】,被動,無屬性防禦強化【中】,1,-,無屬性防禦力略微提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
技巧,鐵壁基因【大】,被動,無屬性防禦強化【大】,1,-,無屬性防禦力顯著提升【強化0】,轟龍、一角龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
技巧,鐵壁基因【特大】,被動,無屬性防禦強化【特】,1,-,無屬性防禦力特顯著提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,皆為上位怪
技巧,全屬性耐性基因【小】,被動,全屬性防禦強化【小】,1,-,全屬性防禦力極少量提升【強化0】,恐暴龍、獄狼龍,
技巧,全屬性耐性基因【中】,被動,全屬性防禦強化【中】,1,-,全屬性防禦力略微提升強化0】,恐暴龍、獄狼龍、冰咒龍、麒麟、鋼龍、炎王龍、滅盡龍,
技巧,全屬性耐性其因[大】,被動,全屬性防禦強化【大】,1,-,全屬性防禦力顯著提升【強化0】,冰咒龍、麒麟、鋼龍、炎王龍、滅盡龍,
技巧,全屬性耐性基因【特大】,被動,全屬性防禦強化【特】,1,-,全屬性防禦力大幅提升【強化0】,冰咒龍、麒麟、鋼龍、炎王龍、滅盡龍,皆為上位怪
技巧,耐毒基因【小】,被動,耐毒【小】,1,-,有機率使毒猛毒劇毒無效，特高機率發動,毒妖鳥、黑狼鳥、波波、桃毛獸王、冰鮫鯊、影蜘蛛、白兔獸、冰土砂龍、紫毒鳥,
技巧,耐毒基因【中】,被動,耐毒【中】,1,-,有機率使毒猛毒劇毒無效，特高機率發動,毒妖鳥、黑狼鳥、波波、桃毛獸王、冰鮫鯊、影蜘蛛、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍、紅速龍王、黃速龍王、紫毒鳥、骸蜘蛛、綠毛獸王,
技巧,耐毒基因【大】,被動,耐毒【大】,1,-,有機率使毒猛毒劇毒無效，特高機率發動,巨獸、冰牙龍、風漂龍、紅速龍王、黃速龍王、紫毒鳥、骸蜘蛛、綠毛獸王,
技巧,耐毒基因【特大】,被動,耐毒【特】,1,-,有機率使毒猛毒劇毒無效，特高機率發動,毒妖鳥、黑狼鳥、波波、桃毛獸王、冰鮫鯊、影蜘蛛、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍、紅速龍王、黃速龍王、紫毒鳥、骸蜘蛛、綠毛獸王,皆為上位怪
技巧,耐盲眼基因【小】,被動,耐盲眼【小】,1,-,有機率使盲眼無效，小機率發動【強化0】,毒妖鳥、黑狼鳥、桃毛獸王、毒怪鳥、影蜘蛛、飛雷龍、奇怪龍、紅怪龍、紫毒鳥,
技巧,耐盲眼基因【中】,被動,耐盲眼【中】,1,-,有機率使盲眼無效，中機率發動【強化0】,毒妖鳥、黑狼鳥、桃毛獸王、毒怪鳥、影蜘蛛、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅速龍王、黃速龍王、紫毒鳥、紅彩鳥、海龍、骸蜘蛛、綠毛獸王、白海龍、電龍、雷顎龍、金雷公、金獅子,
技巧,耐盲眼基因【大】,被動,耐盲眼【大】,1,-,有機率使盲眼無效，高機率發動【強化0】,雷狼龍、紅速龍王、黃速龍王、紅彩鳥、海龍、骸蜘蛛、綠毛獸王、白海龍、電龍、雷顎龍、金雷公、金獅子,
技巧,耐盲眼基因【特大】,被動,耐盲眼【特】,1,-,有機率使盲眼無效，特高機率發動【強化0】,毒妖鳥、黑狼鳥、桃毛獸王、毒怪鳥、影蜘蛛、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅速龍王、黃速龍王、紫毒鳥、紅彩鳥、海龍、骸蜘蛛、綠毛獸王、白海龍、電龍、雷顎龍、金雷公、金獅子,皆為上位怪
速度,全力揮擊基因【特大】,主動,地獄狂傲,40,38,對全體造成無屬性大量傷害,鷹魔角龍,
速度,爪刺基因【特大】,主動,毒掃擊,1,41,對全體造成無屬性大量傷害，中機率使其陷入中毒狀態3回合,櫻火龍,
速度,地鳴基因【大】,主動,真空波,40,30,對全體造成無屬性中星傷害，高機率使其陷入裂傷狀態2回合,白疾風迅龍,
速度,破壞基因【特大】,主動,地獄粉碎擊,1,22,對單體造成無屬性大量傷害，低機率使其防禦力大幅降低3回合,鏖魔角龍,
速度,先制基因S【大】,主動,音速擊S,20,16,對單體造成無屬性小量傷害，先發機率非常高,一角龍,
速度,突襲基因【小】,主動,奪命擊,1,18,對單體造成無屬性小量傷害，會心率略高,迅猛龍王,
速度,全力基因【小】,主動,全力攻擊,5,10,對單體造成無屬性中量傷害，自己會因後坐力而承受傷害,野豬王、青怪鳥,
速度,失控基因【大】,主動,激重槍,10,29,對單體造成無屬性大量傷害，命中率低，但命中時必定會心,轟龍,
速度,睡眠基因【小】,主動,睡眠牙,1,10,對單體造成無屬性小量傷害，低機率使其陷入睡眠狀態1回合,眠狗龍王,
速度,毒基因【中】,主動,毒刺,8,12,對單體造成無屬性中量傷害，中機率使其陷入中毒狀態3回合,雌火龍,
速度,麻痹基因【小】,主動,麻痹牙,1,10,對單體造成無屬性小量傷害，低機率使其陷入麻痹狀態3回合,黃速龍王,
速度,猛毒基因【特大】,主動,女王劇毒,40,31,對單體造成無屬性大量傷害，高機率使其陷入劇毒狀態3回合,紫毒姬,
速度,棘基因【中】,主動,昏厥刺彈,30,38,對全體造成無屬性中量傷害，低機率使其陷入眩暈,綠迅龍,
速度,棘彈基因【特大】,主動,追蹤刺彈,15,19,對單體造成無屬性大量傷害，無視敵方的回避率必定命中,白疾風迅龍,
速度,雪上加霜基因S,主動,追全異常重擊S,30,10,對單體造成無屬性中量傷害，對狀態異常的敵方造成的傷害大幅提升,砂龍王,
速度,風牙基因【大],主動,追旋風重擊,1,10,方造成無屬性中量傷害，對陷入龍卷的敵方造成的傷害提升,風牙龍,
速度,迅龍基因【中】,主動,奪命尾巴,15,20,對單體造成無屬性中量傷害，會心率高,迅龍,
速度,滅盡基因【大】,主動,滅盡掌,1,20,對單體造成無屬性中量傷害，會心率高,滅盡龍,
無,先制基因【小】,主動,疾風牙,15,14,對單體造成無屬性極小量傷害，先發機率非常高,迅猛龍王,
無,狂擊基因【小】,主動,岩石射手,1,9,隨機對單體造成無屬性中量傷害，,轟龍、黑轟龍,
無,狂擊基因【中】,主動,岩石炮,1,18,隨機對單體造成無屬性大量傷害,荒鉤爪轟龍,
無,棘彈基因【小】,主動,刺彈,8,16,對全體造成無屬性小量傷害，,迅龍、綠迅龍,
無,治癒基因【小】,主動,療愈之聲,1,36,【強化0】使單一我方的體力中量回復,草食龍,
無,回復基因【大】,主動,蘑菇之力,20,40,自己的體力完全回復,桃毛獸王,
無,回復基因【特大],主動,天賦活心,30,96,我方回復一個生命值，無法回復至超過上限,草食龍、背甲龍、波波,
無,治療基因【小】,主動,治癒之聲,4,16,治療單一我方的狀態異常,草食龍,
無,治療基因【中】,主動,治療咆哮,10,20,治療我方全體的狀態異常,波波,
無,硬化基因【大】,主動,硬化身體,1,17,【強化0】自己的防禦力中幅提升,岩龍、桃岩龍、 黑鎧龍,
無,防禦基因【小】,主動,岩石盾,1,16,【強化0】自己的防禦力小幅提升,強鳥,
無,防禦基因【中】,主動,完美防禦,30,11,在1回合間，自己承受的傷害大幅降低,綠毛獸王,
無,瞄準基因【大】,主動,瞄準,20,6,下個回合，自己的命中率提升,轟龍、白一角龍,
無,俊敏基因【小】,主動,研磨刀刃,1,15,【強化0】自己的攻擊力與會心率小幅提升3回合,迅龍,
無,俊敏基因【中】,主動,隱秘,1,21,【強化0】自己的回避率與會心率小幅提升3回合,綠迅龍,
無,回避基因【大】,主動,看破,30,21,【強化0】在使用回合中，回避敵方對自己的攻擊,風牙龍、火龍,
無,回避基因【特大】,主動,白影殘,1,21,【強化0】回避敵方對自己的攻擊，僅在使用回合中有效，可回避一次,白疾風迅龍,
無,怒吼基因【小】,主動,攻擊咆哮,1,19,【強化0】我方全體的全屬性攻擊力小幅提升3回合,狗龍王,
無,怒吼基因【中】,主動,突擊咆哮,1,20,【強化0】我方全體的全屬性攻擊力中幅提升3回合,一角龍,
無,怒吼基因【大】,主動,猛擊咆哮,15,21,【強化0】我方全體的全屬性攻擊力大幅提升3回合,千刃龍,
無,蓄力基因【中】,主動,強能蓄力,20,10,下個回合，自己的全屬性攻擊力特顯著提升,野豬王、角龍、 黑角龍,
無,蓄力基因【特大】,主動,高能蓄力,15,10,在2個回合間，自己的全屬性攻擊力大幅提升,金獅子,
無,威壓基因【小】,主動,威壓,4,19,高機率使全體的全屬性攻擊力小幅降低3回合,迅猛龍王,
無,威壓基因【大】,主動,王者威壓,40,21,高機率使全體的全屬性攻擊力中幅降低3回合,白海龍,
無,威壓基因【特大】,主動,古龍威壓,40,40,高機率使全體的全屬性攻擊力與全屬性防禦力中幅降低3回合,鋼龍,
無,盲眼基因【小】,主動,閃光,10,4,中機率使全體陷入盲眼狀態3回合,毒怪鳥、紫毒鳥,
無,鐵面皮基因【中】,主動,鐵面具,20,2,【強化0】所有狀態異常對自己無效3回合,白猿狐,
無,泡舞基因【大】,主動,泡沫之舞,30,21,【強化0】回避敵方對自己的攻擊1次，僅在使用回合有效,泡狐龍,
無,剛力歌基因【中】,主動,剛力歌,15,20,【強化0】我方全體的全屬性攻擊力小幅提升3回合,彩鳥,
無,堅守歌基因【中】,主動,堅守歌,8,20,【強化0】我方全體的全屬性防禦力小幅提升3回合,彩鳥,
無,奪力歌基因【中】,主動,弱化歌,20,16,【強化0】高機率使全體的全屬性攻擊力小幅降低3回合,紅彩鳥,
無,軟弱歌基因【中】,主動,碎力歌,10,16,【強化0】高機率使全體的全屬性防禦力小幅降低3回合,紅彩鳥,
無,加護基因【小】,被動,精靈加護【小】,1,-,有機率使承受的傷害減輕，小機率發動【強化0】,雷狼龍、搔鳥、野豬王、背甲龍、背甲龍、狗龍王、青熊獸、彩鳥、浮空龍、迅龍、綠迅龍,
無,加護基因【中】,被動,精靈加護【中】,1,-,有機率使承受的傷害減輕，中機率發動【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
無,加護基因【大】,被動,精靈加護【大】,1,-,有機率使承受的傷害減輕，高機率發動【強化0】,千刃龍、轟龍、黑轟龍、角龍、黑角龍、風牙龍、一角龍、白一角龍、白疾風、鏖魔、荒鉤爪,
無,加護基因【特大】,被動,精靈加護【特】,1,-,有機率使承受的傷害減輕，特高機率發動【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,皆為上位怪
無,狀態異常賦予基因【小】,被動,賦予率提升【小】,1,-,賦予狀態異常的機率極微提升【強化0】,毒妖鳥、黑狼鳥、桃毛獸王、影蜘蛛、紫毒鳥,
無,狀態異常賦予基因【中】,被動,賦予率提升【中】,1,-,賦予狀態異常的機率極小提升【強化0】,毒妖鳥、黑狼鳥、桃毛獸王、影蜘蛛、紫毒鳥、骸蜘蛛、綠毛獸王、滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,
無,狀態異常賦予基因【大】,被動,賦予率提升【大】,1,-,賦予狀態異常的機率中量提升【強化0】,紅速龍王、黃速龍王、骸蜘蛛、綠毛獸王、滅盡龍、136、麒麟、鋼龍、冰呪龍,
無,狀態異常賦予基因【特大】,被動,賦予率提升【特】,1,-,賦予狀態異常的機率大量提升【強化0】,毒妖鳥、黑狼鳥、桃毛獸王、影蜘蛛、紫毒鳥、骸蜘蛛、綠毛獸王、滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
無,雪上加霜增強基因【小】,被動,雪上加霜強化【小】,1,-,對異常狀態的對手造成的傷害微量提升,毒妖鳥、黑狼鳥、桃毛獸王、影蜘蛛、紫毒鳥,
無,雪上加霜增強基因【中】,被動,雪上加霜強化【中】,1,-,對異常狀態的對手造成的傷害少量提升,毒妖鳥、黑狼鳥、桃毛獸王、影蜘蛛、紅速龍王、黃速龍王、紫毒鳥、骸蜘蛛、綠毛獸王、滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,
無,雪上加霜增強基因【大】,被動,雪上加霜強化【大】,1,-,對異常狀態的對手造成的傷害大量提升,紅速龍王、黃速龍王、骸蜘蛛、綠毛獸王、滅盡龍、139、麒麟、炎王龍、鋼龍、冰呪龍,
無,雪上加霜增強基因【特大】,被動,雪上加霜強化【特】,1,-,對異常狀態的對手造成的傷害大幅提升,毒妖鳥、黑狼鳥、桃毛獸王、影蜘蛛、紫毒鳥、骸蜘蛛、綠毛獸王、滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
無,靈魂羈絆基因【小】,被動,靈魂羈絆【小】,1,-,羈絆值上升極少量提升【強化0】,草食龍、雌火龍、眠狗龍王,
無,靈魂羈絆基因【中】,被動,靈魂羈絆【中】,1,-,羈絆值上升略微提升【強化0】,草食龍、雌火龍、眠狗龍王、滅盡龍、恐暴龍、獄狼龍、麒麟、炎王龍、鋼龍、冰呪龍,
無,靈魂羈絆基因【大】,被動,靈魂羈絆【大】,1,-,羈絆值上升顯著提升【強化0】,滅盡龍、恐暴龍、獄狼龍、麒麟、炎王龍、鋼龍、冰呪龍,
無,靈魂羈絆基因【特大】,被動,靈魂羈絆【特】,1,-,羈絆值上升特顯著提升【強化0】,草食龍、雌火龍、眠狗龍王、滅盡龍、恐暴龍、獄狼龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
無,自我回復基因【小】,被動,自我回復【小】,1,-,回合結束時體力獲得小回復【強化0】,砂龍王、泡狐龍、紫水獸,
無,自我回復基因【中】,被動,自我回復【中】,1,-,回合結束時體力獲得中回復【強化0】,砂龍王、泡狐龍、紫水獸、滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,
無,自我回復基因【大】,被動,自我回復【大】,1,-,回合結束時體力獲得大回復【強化0】,滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,
無,自我回復基因【特大】,被動,自我回復【特】,1,-,回合結束時體力獲得特大回復【強化0】,滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
速度,爪刺基因【大】,主動,螺旋爪,1,19,對單一敵方造成無屬性大量傷害,天眼泡狐龍,
速度,破壞基因【大】,主動,碎身角,15,22,對單一敵方造成無屬性大量傷害。中機率使其防禦力降低3回合,冰麒麟,
