類型,基因名稱,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,
力量,火強化基因【小】,被動,火屬性攻擊強化【小】,1,-,【強化0】火屬性攻擊力極少量提升,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐,
力量,火強化基因【中】,被動,火屬性攻擊強化【中】,1,-,【強化0】火屬性攻擊力略微提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
力量,火強化基因【大】,被動,火屬性攻擊強化【大】,1,-,【強化0】火屬性攻擊力顯著提升,"爆錘龍、桃岩龍、鎧龍、黑鎧龍、碎龍、斬龍
 爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
力量,火強化基因【特大】,被動,火屬性攻擊強化【特】,1,-,【強化0】火屬性攻擊力大幅提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",皆為上位怪
力量,火場怪力基因【小】,被動,火場怪力【小】,1,-,【強化0】體力低於一半時，攻擊力極少量提升,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐,
力量,火場怪力基因【中】,被動,火場怪力【中】,1,-,【強化0】體力低於一半時，攻擊力略微提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、滅盡龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬、麒麟、炎王龍、鋼龍、冰呪龍",
力量,火場怪力基因【大】,被動,火場怪力【大】,1,-,【強化0】體力低於一半時，攻擊力顯著提升,"爆錘龍、桃岩龍、鎧龍、黑鎧龍、碎龍、滅盡龍、斬龍、爆鱗龍
 火龍、蒼火龍、櫻火龍、紫毒姬、麒麟、炎王龍、鋼龍、冰呪龍",
力量,火場怪力基因【特大】,被動,火場怪力【特】,1,-,【強化0】體力低於一半時，攻擊力大幅提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、滅盡龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬、麒麟、炎王龍、鋼龍、冰呪龍",皆為上位怪
力量,炸彈客基因【小】,被動,炸彈客【小】,1,-,【強化0】爆破異常與桶爆彈的威力極少量提升,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐,
力量,炸彈客基因【中】,被動,炸彈客【中】,1,-,【強化0】爆破異常與桶爆彈的威力略微提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
力量,炸彈客基因【大】,被動,炸彈客【大】,1,-,【強化0】爆破異常與桶爆彈的威力顯著提升,"爆錘龍、桃岩龍、鎧龍、黑鎧龍、碎龍、斬龍、爆鱗龍、火龍
 蒼火龍、櫻火龍、紫毒姬",
力量,炸彈客基因【特大】,被動,炸彈客【特】,1,-,【強化0】爆破異常與桶爆彈的威力大幅提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",皆為上位怪
技巧,岩石基因【中】,主動,點火衝擊,1,8,對單體造成火屬性小量傷害,彩鳥,
技巧,火球基因【中】,主動,火焰球,8,12,對單體造成火屬性小量傷害，高機率令對手燒傷3回合,青怪鳥、黑狼鳥,
技巧,火球基因【小】,主動,火球,4,8,對單體造成火屬性小量傷害,怪鳥,
技巧,粘液基因【大】,主動,火炎液拋射,1,24,對全體造成火屬性中量傷害，中機率令對手燒傷4回合,白猿狐,
技巧,引爆基因【中】,主動,爆燃吐息,1,30,對全體造成火屬性中量傷害，立即引爆爆破異常狀態,爆鱗龍,
技巧,火耐性基因【小】,被動,火屬性防禦強化【小】,1,-,【強化0】火屬性防禦力極少量提升,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐,
技巧,火耐性基因【中】,被動,火屬性防禦強化【中】,1,-,【強化0】火屬性防禦力略微提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
技巧,火耐性基因【大】,被動,火屬性防禦強化【大】,1,-,【強化0】火屬性防禦力顯著提升,"爆錘龍、桃岩龍、鎧龍、黑鎧龍、碎龍、斬龍
 爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
技巧,火耐性基因【特大】,被動,火屬性防禦強化【特】,1,-,【強化0】火屬性防禦力大幅提升,"怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",皆為上位怪
技巧,擊暈術基因【小】,被動,擊敗術【小】,1,-,普通攻擊可令對手暈厥【強化0】造成昏厥的機率極少量提升,草食龍、雌火龍、眠狗龍王,
技巧,擊暈術基因【中】,被動,擊敗術【中】,1,-,普通攻擊可令對手暈厥【強化0】造成昏厥的機率略微提升,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,
技巧,擊暈術基因【大】,被動,擊敗術【大】,1,-,普通攻擊可令對手暈厥【強化0】造成昏厥的機率顯著提升,恐暴龍、獄狼龍,
技巧,擊暈術基因【特大】,被動,擊敗術【特】,1,-,普通攻擊可令對手暈厥【強化0】造成昏厥的機率大幅提升,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,皆為上位怪
速度,衝擊基因【特大】,主動,滑空炸彈,30,26,對全體造成火屬性中量傷害，高機率令對手爆破異常,爆鱗龍,
速度,火焰吐息基因【小】,主動,火焰吐息,1,10,對單體造成火屬性中量傷害,雌火龍、蒼火龍,
速度,火焰吐息基因【中】,主動,火焰噴射,15,22,對全體造成火屬性中量傷害，低機率令對手燒傷3回合,雌火龍、櫻火龍、紫毒姬,
無,黏菌基因【大】,主動,起爆光環,30,5,賦予自身攻擊爆破異常效果，【強化0】效果回合：3,碎龍,
無,粉塵基因【特大】,主動,粉塵爆炸,1,20,多次隨機對全體造成火屬性大量傷害，高機率令對手爆破異常,炎王龍,
無,火罩基因【特大】,主動,獻身熱焰,40,19,中幅提升火屬性攻擊力與防禦力5回合，並蓄力2回合,櫻火龍,
無,怒吼基因【特大】,主動,轟炸咆嘯,15,10,我方全體的爆破系傷害中幅提升，【強化0】效果回合：3,爆鱗龍,
無,蠻顎基因【小】,主動,熱量增長,1,6,自身的火屬性攻擊力小幅提升，【強化0】效果回合：3,蠻顎龍,
無,火龍基因【中】,主動,火焰光環,30,5,賦予自身攻擊燒傷效果，【強化0】效果回合：3,蒼火龍,
無,熱線基因【特大】,主動,蓄力擴散熱線,30,36,下一回合，對全體造成無視防禦力的火屬性傷害，高機率令對手燒傷,黑鎧龍,
無,牽絆回復基因【大】,主動,太陽咆嘯,40,20,增加羈絆值，【強化0】羈絆值增加量：30,-,
無,火罩基因【中】,主動,赤色高熱,30,15,自身的火屬性攻擊力與防禦力小幅提升，【強化0】效果回合：3,斬龍,
無,耐暑基因,被動,耐暑,1,-,持續令熱體無效化,"岩龍、爆錘龍、桃岩龍、鎧龍、黑鎧龍、風牙龍
 炎王龍、滅盡龍、麒麟、鋼龍、冰呪龍",
力量,突襲基因【特大】,主動,燼滅刃,40,29,對單體造成火屬性大量傷害。會心率略高,燼滅刃斬龍,
速度,鞭打基因【特大】,主動,燃火尾巴,15,14,對單一敵方造成火屬性中量傷害。高機率使其陷入燒傷狀態3回合,燼滅刃斬龍,
