No.,屬性,類型,基因名稱,基因等級,等級,主/被,技能名稱,技能細節,目標,羈絆值消耗,基礎值【強化2】,技能特效【強化2】,固有,一般,稀有
21,雷,技巧,咬牙基因【小】,S,1,主動,雷牙,"對單一敵方造成雷屬性小量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,11,40,麻痺 40% 3回合,紅怪龍、加爾克(雷),,
22,無,力量,咬牙基因【中】,M,15,主動,狂野牙,"對單一敵方造成無屬性中量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,,海龍、雷顎龍,,
23,火,力量,咬牙基因【大】,L,20,主動,燃火牙,"對單一敵方造成火屬性中量傷害。中機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,燒傷 50% 3回合,蠻顎龍、加爾克(火),,
24,,,咬牙基因【特大】,XL,,,,,,,,,,,
25,無,力量,岩石基因【小】,S,8,主動,岩石奔擊,"對單一敵方造成無屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,搔鳥,,
26,火,技巧,岩石基因【中】,M,1,主動,爆火,"對單一敵方造成火屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,彩鳥,,
27,雷,技巧,岩石基因【大】,L,1,主動,爆雷,"對單一敵方造成雷屬性中量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,麻痺 30% 3回合,紅彩鳥,,
28,,,岩石基因【特大】,XL,,,,,,,,,,,
29,無,力量,地鳴基因【小】,S,8,主動,大地震盪波,"對敵方全體造成無屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,16,40,,背甲龍,,
30,火,力量,地鳴基因【中】,M,15,主動,火焰環刃,"對單一敵方造成火屬性中量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,,斬龍,,
31,無,速度,地鳴基因【大】,L,40,主動,真空波,"對敵方全體造成無屬性中量傷害。高機率使其陷入裂傷狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,30,60,裂傷 80% 2回合,白疾風迅龍,,
32,無,力量,地鳴基因【特大】,XL,40,主動,大地碎擊,"對單一敵方造成無屬性大量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,19,113,,荒鉤爪轟龍,,
33,無,技巧,倒地基因【小】,S,8,主動,真空衝擊,"對單一敵方造成無屬性小量傷害。低機率使其陷入暈眩。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,14,40,暈眩 30% 1回合,浮空龍,,
34,無,力量,倒地基因【中】,M,1,主動,尾巴震盪擊,"對單一敵方造成無屬性中量傷害。低機率使其陷入暈眩。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,16,60,暈眩 30% 1回合,紫毒鳥,,
35,無,力量,倒地基因【大】,L,10,主動,擊倒,"對單一敵方造成無屬性中量傷害。低機率使其陷入擊倒。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,16,60,擊倒 30% 1回合,一角龍,,
36,,,倒地基因【特大】,XL,,,,,,,,,,,
37,無,技巧,破壞基因【小】,S,10,主動,狂野粉碎擊,"對單一敵方造成無屬性小量傷害。低機率使其防禦力降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,全屬性防禦力降低[15] 30% 3回合,青熊獸、狗龍王、土砂龍,,
38,無,力量,破壞基因【中】,M,10,主動,碎身擊,"對單一敵方造成無屬性中量傷害。低機率使其防禦力降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,全屬性防禦力降低[15] 40% 3回合,冰土砂龍、黑轟龍、白一角龍,,
39,無,速度,破壞基因【大】,L,15,主動,碎身角,"對單一敵方造成無屬性大量傷害。中機率使其防禦力降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,22,110,全屬性防禦力降低[15] 50% 3回合,冰麒麟,,
40,無,速度,破壞基因【特大】,XL,1,主動,地獄粉碎擊,"對單一敵方造成無屬性大量傷害。低機率使其防禦力大幅降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,22,114,全屬性防禦力降低[30] 40% 3回合,鏖魔角龍,,
41,無,無,先制基因【小】,S,15,主動,疾風牙,"對單一敵方造成無屬性極小量傷害。先發機率非常高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,14,x1,先發機率非常高,迅猛龍王,,
42,無,力量,先制基因P【大】,M,30,主動,音速擊P,"對單一敵方造成無屬性小量傷害。先發機率非常高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,16,x1,先發機率非常高,金獅子,,
43,無,速度,先制基因S【大】,L,20,主動,音速擊S,"對單一敵方造成無屬性小量傷害。先發機率非常高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,16,x1,先發機率非常高,一角龍,,
44,冰,技巧,先制基因T【大】,L,15,主動,音速擊T,"對單一敵方造成冰屬性小量傷害。先發機率非常高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,16,x1,先發機率非常高,鋼龍,,
45,無,速度,突襲基因【小】,S,1,主動,奪命擊,"對單一敵方造成無屬性小量傷害。會心率略高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,18,40,會心率[20],迅猛龍王,,
46,無,技巧,突襲基因【中】,M,1,主動,奪命壓制,"對單一敵方造成無屬性小量傷害。會心率略高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,18,40,會心率[20],背甲龍、浮空龍,,
47,雷,力量,突襲基因【大】,L,15,主動,電漿重壓,"對單一敵方造成雷屬性中量傷害。會心率略高。
【強化1】威力：小幅提升　會心率：小幅提升
【強化2】威力：中幅提升　會心率：中幅提升",單體,20,60,會心率[30],白海龍,,
48,火,力量,突襲基因【特大】,XL,40,主動,燼滅刃,"對單一敵方造成火屬性大量傷害。會心率略高。
【強化1】威力：小幅提升　會心率：小幅提升
【強化2】威力：中幅提升　會心率：中幅提升",單體,29,114,會心率[30],燼滅刃斬龍,,
49,無,速度,全力基因【小】,S,5,主動,全力攻擊,"對單一敵方造成無屬性中量傷害。自己會因後座力而承受傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,70,自身傷害,野豬王、青怪鳥,,
50,無,力量,全力基因【中】,M,15,主動,全力熊掌,"對單一敵方造成無屬性大量傷害。自己將因反作用力而陷入擊倒。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,100,自身擊倒,青熊獸,,
51,水,技巧,全力基因【大】,L,15,主動,全力迴旋,"對單一敵方造成水屬性中量傷害。自己會因後座力而承受傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,70,自身傷害,水獸、奇猿狐,,
52,無,力量,全力基因【特大】,XL,10,主動,全力角擊,"對敵方全體造成無屬性極大量傷害。自己將因反作用力而受到傷害並陷入擊倒。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,38,160,自身擊倒,角龍、黑角龍,,
53,無,技巧,背水基因【小】,S,20,主動,復仇斬擊,"對單一敵方造成無屬性小量傷害。體力低時攻擊力提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,體力低時攻擊力上升,浮空龍、影蜘蛛,,
54,無,力量,背水基因【中】,M,1,主動,復仇衝擊,"對單一敵方造成無屬性中量傷害。體力低時攻擊力提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,體力低時攻擊力上升,角龍,,
55,冰,速度,背水基因【大】,L,10,主動,復仇冰鑽,"對單一敵方造成冰屬性中量傷害。體力低時攻擊力上升。使其陷入技能封印。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,"體力低時攻擊力上升
技能封印 50% 2回合",風漂龍,,
56,雷,技巧,背水基因【特大】,XL,30,主動,復仇雷擊,"對單一敵方造成雷屬性大量傷害。體力低時攻擊力上升。使其陷入麻痺狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,22,110,"體力低時攻擊力上升
麻痺 40% 3回合",電龍,,
57,無,力量,失控基因【小】,S,1,主動,必殺衝擊,"對單一敵方造成無屬性小量傷害。命中率低，但命中時必定會心。
【強化1】命中率：小幅提升
【強化2】命中率：中幅提升",單體,13,35,命中率低但必定會心,野豬王,,
58,無,技巧,失控基因【中】,M,10,主動,激重擊,"對單一敵方造成無屬性中量傷害。命中率低，但命中時必定會心。
【強化1】命中率：小幅提升
【強化2】命中率：中幅提升",單體,20,55,命中率低但必定會心,白猿狐,,
59,無,速度,失控基因【大】,L,10,主動,激重槍,"對單一敵方造成無屬性大量傷害。命中率低，但命中時必定會心。
【強化1】命中率：小幅提升
【強化2】命中率：中幅提升",單體,29,95,命中率低但必定會心,轟龍,,
60,無,力量,失控基因【特大】,XL,15,主動,激重暴亂,"對敵方全體造成無屬性極大量傷害。命中率低，但命中時必定會心。
【強化1】命中率：小幅提升
【強化2】命中率：中幅提升",全體,56,135,命中率低但必定會心,荒鉤爪轟龍,,
61,火,速度,火焰吐息基因【小】,S,1,主動,火焰吐息,"對單一敵方造成火屬性中量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,,雌火龍、蒼火龍、加爾克(火),,
62,火,速度,火焰吐息基因【中】,M,15,主動,烈焰爆射,"對敵方全體造成火屬性中量傷害。低機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,22,60,燒傷 30% 3回合,雌火龍、櫻火龍、紫毒姬雌火龍,,
63,火,力量,火焰吐息基因【大】,L,15,主動,火焰爆裂,"對敵方全體造成火屬性大量傷害。低機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,40,110,燒傷 30% 3回合,蒼火龍,,
64,火,力量,火焰吐息基因【特大】,XL,1,主動,閃焰爆裂,"對敵方全體造成火屬性極大量傷害。低機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,48,150,燒傷 30% 3回合,銀火龍,,
65,火,技巧,火球基因【小】,S,4,主動,火球,"對單一敵方造成火屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,怪鳥,,
66,火,技巧,火球基因【中】,M,8,主動,火焰球,"對單一敵方造成火屬性小量傷害。高機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,40,燒傷 80% 3回合,黑狼鳥、青怪鳥,,
67,火,力量,火球基因【大】,L,15,主動,豪火球,"對單一敵方造成火屬性大量傷害。高機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,23,110,燒傷 80% 3回合,火龍,,
68,火,力量,火球基因【特大】,XL,40,主動,超新星爆發,"對敵方全體造成火屬性極大量傷害。高機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,54,155,燒傷 80% 3回合,炎王龍,,
69,水,力量,水吐息基因【小】,S,8,主動,水壓射擊,"對單一敵方造成水屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,水獸,,
70,水,速度,水吐息基因【中】,M,10,主動,妖泡,"對敵方全體造成水屬性中量傷害。低機率賦予速度‧命中率降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,23,60,"速度下降[1] 30% 3回合
命中率降低[25] 30% 3回合",泡狐龍,,
71,水,技巧,水吐息基因【大】,L,1,主動,水波爆射,"對單一敵方造成水屬性大量傷害。中機率使其速度降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,21,110,速度下降[1] 50% 3回合,泡狐龍,,
72,,,水吐息基因【特大】,XL,,,,,,,,,,,
73,雷,力量,雷電吐息基因【小】,S,1,主動,雷電吐息,"對單一敵方造成雷屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,海龍,,
74,雷,技巧,雷電吐息基因【中】,M,10,主動,雷吐息,"對單一敵方造成雷屬性小量傷害。中機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,13,40,麻痺 50% 3回合,奇怪龍、紅怪龍,,
75,雷,速度,雷電吐息基因【大】,L,1,主動,電漿爆射,"對敵方全體造成雷屬性中量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,23,60,麻痺 30% 3回合,電龍、白海龍,,
76,雷,技巧,雷電吐息基因【特大】,XL,30,主動,青電漿,"對敵方全體造成雷屬性大量傷害。中機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,47,113,麻痺 50% 3回合,青電主電龍,,
77,雷,速度,雷擊基因【小】,S,20,主動,雷電迴旋擊,"對敵方全體造成雷屬性小量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,22,40,麻痺 40% 3回合,飛雷龍,,
78,雷,技巧,雷擊基因【中】,M,1,主動,雷霆斬,"對單一敵方造成雷屬性中量傷害。中機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,15,60,麻痺 50% 3回合,青電主電龍,,
79,雷,力量,雷擊基因【大】,L,40,主動,雷霆暴亂,"對敵方全體造成雷屬性中量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,23,60,麻痺 30% 3回合,雷顎龍,,
80,雷,力量,雷擊基因【特大】,XL,1,主動,雷炮,"對敵方全體造成雷屬性大量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,41,114,麻痺 30% 3回合,金獅子,,
81,,,冰吐息基因【小】,S,,,,,,,,,,,
82,,,冰吐息基因【中】,M,,,,,,,,,,,
83,冰,力量,冰吐息基因【大】,L,25,主動,銀嶺爆射,"對敵方全體造成冰屬性中量傷害。低機率使其陷入技能封印狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,22,60,技能封印 30% 2回合,銀嶺巨獸,,
84,冰,技巧,冰吐息基因【特大】,XL,15,主動,冰鑽震盪波,"對敵方全體造成冰屬性大量傷害。自己的防禦力中幅提升3回合。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,58,115,全屬性防禦力提升[20] 120% 3回合,冰呪龍,,
85,冰,技巧,凍結基因【小】,S,10,主動,凍結氣體,"對敵方全體造成冰屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,16,40,,冰鮫鯊,,
86,冰,技巧,凍結基因【中】,M,1,主動,冰槍,"對單一敵方造成冰屬性中量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,,冰鮫鯊、加爾克(冰),,
87,冰,技巧,凍結基因【大】,L,40,主動,暴雪吐息,"對敵方全體造成冰屬性大量傷害。必定使其暈眩，賦予防禦力降低3回合。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,50,110,"暈眩 120% 1回合
全屬性防禦力降低[15] 120% 3回合",冰呪龍,,
88,,,凍結基因【特大】,XL,,,,,,,,,,,
89,,,龍吐息基因【小】,S,,,,,,,,,,,
90,,,龍吐息基因【中】,M,,,,,,,,,,,
91,龍,力量,龍吐息基因【大】,L,30,主動,龍息爆射,"對敵方全體造成龍屬性中量傷害。高機率使其會心率降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,28,60,會心率降低[30] 80% 3回合,恐暴龍、加爾克(龍),,
92,,,龍吐息基因【特大】,XL,,,,,,,,,,,
93,無,速度,睡眠基因【小】,S,1,主動,睡眠牙,"對單一敵方造成無屬性小量傷害。低機率使其陷入睡眠狀態1回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,10,40,睡眠 35% 2回合,眠狗龍王,,
94,無,技巧,睡眠基因【中】,M,1,主動,睡眠針,"對單一敵方造成無屬性小量傷害。中機率使其陷入睡眠狀態1回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,11,40,睡眠 50% 2回合,影蜘蛛,,
95,無,技巧,睡眠基因【大】,L,20,主動,睡眠氣體,"對敵方全體造成無屬性中量傷害。中機率使其在發動回合內陷入睡眠狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,26,60,睡眠 50% 1回合,鎧龍、桃岩龍,,
96,,,睡眠基因【特大】,XL,,,,,,,,,,,
97,無,技巧,毒基因【小】,S,1,主動,毒尾巴,"對單一敵方造成無屬性小量傷害。低機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,毒 35% 3回合,黑狼鳥,,
98,無,速度,毒基因【中】,M,8,主動,毒刺,"對單一敵方造成無屬性中量傷害。中機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,毒 50% 3回合,雌火龍,,
99,水,力量,毒基因【大】,L,10,主動,猛毒危機,"對單一敵方造成水屬性中量傷害。低機率賦予中毒‧雷防禦力‧速度降低。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,"毒 35% 2回合
雷屬性防禦力降低[?] 35% 2回合
速度降低[?] 35% 2回合",紫水獸,,
100,,,毒基因【特大】,XL,,,,,,,,,,,
101,無,技巧,毒吐息基因【小】,S,1,主動,猛毒射擊,"對單一敵方造成無屬性小量傷害。中機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,10,40,毒 50% 3回合,毒妖鳥,,
102,無,技巧,毒吐息基因【中】,M,15,主動,劇毒爆射,"對敵方全體造成無屬性小量傷害。高機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,21,40,毒 80% 3回合,毒妖鳥,,
103,,,毒吐息基因【大】,L,,,,,,,,,,,
104,,,毒吐息基因【特大】,XL,,,,,,,,,,,
105,無,力量,毒液基因【小】,S,1,主動,毒液,"對單一敵方造成無屬性小量傷害。低機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,毒 35% 3回合,毒怪鳥、毒猛龍王,,
106,水,力量,毒液基因【中】,M,1,主動,毒水彈,"對單一敵方造成水屬性小量傷害。低機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,毒 35% 3回合,紫水獸,,
107,,,毒液基因【大】,L,,,,,,,,,,,
108,,,毒液基因【特大】,XL,,,,,,,,,,,
109,無,速度,麻痺基因【小】,S,1,主動,麻痺牙,"對單一敵方造成無屬性小量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,10,40,麻痺 30% 3回合,痺猛龍王,,
110,無,技巧,麻痺基因【中】,M,10,主動,麻痺滑擊,"對單一敵方造成無屬性小量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,11,40,麻痺 20% 3回合,砂龍王,,
111,雷,速度,麻痺基因【大】,L,15,主動,雷霆角,"對單一敵方造成雷屬性中量傷害。中機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,15,60,麻痺 50% 3回合,麒麟,,
112,雷,速度,麻痺基因【特大】,XL,40,主動,雷霆空降,"對單一敵方造成雷屬性大量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,22,113,麻痺 40% 3回合,麒麟,,
113,,,毒蜘蛛基因【小】,S,,,,,,,,,,,
114,無,技巧,毒蜘蛛基因【中】,M,15,主動,追毒痺重擊,"對單一敵方造成無屬性中量傷害。對陷入中毒‧麻痺的敵方造成的傷害提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,對中毒、麻痹狀態傷害提升,毒猛龍王、痺猛龍王、骸蜘蛛,,
115,無,技巧,毒蜘蛛基因【大】,L,1,主動,蛛罰,"對單一敵方造成無屬性中量傷害。低機率使其陷入中毒‧麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,13,60,"毒 15% 3回合
麻痺 15% 3回合",骸蜘蛛,,
116,無,技巧,毒蜘蛛基因【特大】,XL,30,主動,毒針,"對單一敵方造成無屬性極小量傷害。高機率使其陷入中毒狀態，低機率即死。
【強化1】即死率：小幅提升
【強化2】即死率：中幅提升",單體,23,20,"毒 80% 2回合
即死 25%",骸蜘蛛,,
117,無,力量,大咆哮基因【小】,S,1,主動,咆哮,"對敵方全體造成無屬性小量傷害。低機率使其陷入擊倒。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,19,40,"擊倒 15% 2回合
設置陷阱[3] 100% 2回合",奇怪龍、黑角龍,,
118,,,大咆哮基因【中】,M,,,,,,,,,,,
119,,,大咆哮基因【大】,L,,,,,,,,,,,
